q1,q2,q3,q4,q5,q5x1,q5x2,q6,q7,q8,q9x1,q9x2s1,q9x2s2,q9x2s3,q9x2s4,q9x2s5,q9x2s6,q9x2s7,q9x2s8,q9x3s1,q9x3s2,q9x3s3,q9x3s4,q9x3s5,q9x3s6,q9x4,q10,q10x1,q10x2,q10x2num,q11,q15x1,q15x2,q15x3,q12x1,q12x2,q12x3,q12x4,q12x5,q12x6,q12x7,q12x8,q12x9,q13x1,q13x2,q13x3,q13x4,q13x5,q14x1,q14x2,q14x3,q14x4,cityid,population,citysize,region
1,24,6,4,1,1,4,9,2,3,4,1,0,1,1,0,1,0,0,0,1,1,0,0,0,5,1,1,1,350,1,3,2,2,2,1,2,2,3,2,4,2,3,3,4,2,1,2,1,3,4,2,8564,18868,3,2
1,15,3,4,3,8,5,5,1,1,5,0,0,0,0,0,0,1,1,0,1,0,0,0,0,4,1,1,1,15,2,2,2,2,1,1,3,3,2,3,2,1,2,3,3,9,2,3,1,2,4,9,8564,18868,3,2
1,20,3,4,1,2,4,10,2,2,5,1,1,0,1,0,0,0,0,0,1,0,0,0,0,4,1,1,1,20,1,3,2,2,2,2,3,3,3,3,3,3,3,2,3,2,2,3,3,2,3,2,8564,18868,3,2
1,52,4,4,1,2,2,999,2,3,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,7,1,1,1,60,1,3,4,4,4,3,2,3,2,1,2,2,3,2,3,3,2,2,3,3,3,3,8564,18868,3,2
2,7,3,4,3,2,5,4,2,2,5,1,1,0,0,0,0,0,0,1,0,0,0,0,0,4,2,888,888,888,2,3,3,3,2,2,2,3,2,3,3,2,2,1,1,4,2,1,2,3,3,2,8564,18868,3,2
2,47,5,3,1,2,3,9,2,2,3,1,1,1,0,0,0,0,0,1,0,0,0,0,0,2,1,1,1,100,1,3,4,4,1,2,2,2,2,2,1,3,2,3,2,3,2,2,2,3,3,2,8564,18868,3,2
2,45,5,2,3,2,4,8,2,1,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,2,888,888,888,2,4,4,4,2,2,3,2,2,2,2,2,2,2,3,2,3,3,2,2,3,3,8564,18868,3,2
2,24,3,4,3,2,3,7,3,3,5,1,1,0,1,1,0,0,0,0,1,0,0,0,0,4,2,888,888,888,2,3,3,3,3,4,4,3,2,2,4,4,4,2,1,4,2,2,2,3,3,2,8564,18868,3,2
1,8,6,5,1,3,4,6,1,2,4,1,0,0,1,0,0,0,1,0,1,0,0,0,0,6,1,1,1,20,1,3,3,1,3,2,1,1,2,2,2,4,2,3,2,4,1,1,2,2,3,2,8564,18868,3,2
2,54,5,4,1,2,4,10,1,2,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,1,1,18,2,4,3,3,2,2,9,3,3,2,2,3,2,2,3,3,2,2,3,3,3,3,8564,18868,3,2
